game_idx,season,date,league,venue,matchup,url
1563168,2024,02월28일 (수) 22:00,수요 야간,살곶이야구장,Nooky Nooks 콜드승 12 한양대학교 D-Dogs OB 0,https://www.gameone.kr/club/info/schedule/boxscore?club_idx=31993&game_idx=1563168
1563175,2024,03월27일 (수) 20:00,수요 야간,살곶이야구장,S.D Rainbow 12 한양대학교 D-Dogs OB 7,https://www.gameone.kr/club/info/schedule/boxscore?club_idx=31993&game_idx=1563175
1563182,2024,04월17일 (수) 22:00,수요 야간,살곶이야구장,한양대학교 D-Dogs OB 2 SD ARROWs 콜드승 12,https://www.gameone.kr/club/info/schedule/boxscore?club_idx=31993&game_idx=1563182
1563186,2024,05월01일 (수) 22:00,수요 야간,살곶이야구장,한양대학교 D-Dogs OB 8 ANACONDAS 3,https://www.gameone.kr/club/info/schedule/boxscore?club_idx=31993&game_idx=1563186
1563189,2024,09월11일 (수) 20:00,수요 야간,살곶이야구장,드링커스야구단 콜드승 14 한양대학교 D-Dogs OB 2,https://www.gameone.kr/club/info/schedule/boxscore?club_idx=31993&game_idx=1563189
1563195,2024,06월05일 (수) 20:00,수요 야간,살곶이야구장,컬럼비아 와일드독스 7 한양대학교 D-Dogs OB 콜드승 17,https://www.gameone.kr/club/info/schedule/boxscore?club_idx=31993&game_idx=1563195
1563206,2024,07월10일 (수) 22:00,수요 야간,살곶이야구장,한양대학교 D-Dogs OB 5 파인트리스 6,https://www.gameone.kr/club/info/schedule/boxscore?club_idx=31993&game_idx=1563206
1563209,2024,07월24일 (수) 20:00,수요 야간,살곶이야구장,한양대학교 D-Dogs OB 2 트위너스 9,https://www.gameone.kr/club/info/schedule/boxscore?club_idx=31993&game_idx=1563209
1563339,2024,03월10일 (일) 07:30,일요 싱글,살곶이야구장,브로맨스연예인야구단 1 한양대학교 D-Dogs OB 8,https://www.gameone.kr/club/info/schedule/boxscore?club_idx=31993&game_idx=1563339
1563349,2024,03월17일 (일) 13:30,일요 싱글,살곶이야구장,한양대학교 D-Dogs OB 11 THE ONE (더원) 2,https://www.gameone.kr/club/info/schedule/boxscore?club_idx=31993&game_idx=1563349
1563365,2024,04월07일 (일) 17:30,일요 싱글,살곶이야구장,헤이컴온 0 한양대학교 D-Dogs OB 콜드승 8,https://www.gameone.kr/club/info/schedule/boxscore?club_idx=31993&game_idx=1563365
1563380,2024,04월21일 (일) 19:30,일요 싱글,살곶이야구장,한양대학교 D-Dogs OB 1 한양캠프 콜드승 9,https://www.gameone.kr/club/info/schedule/boxscore?club_idx=31993&game_idx=1563380
1563394,2024,05월19일 (일) 17:30,일요 싱글,살곶이야구장,한양대학교 D-Dogs OB 6 ANUBIS 3,https://www.gameone.kr/club/info/schedule/boxscore?club_idx=31993&game_idx=1563394
1563411,2024,06월16일 (일) 09:30,일요 싱글,살곶이야구장,블레스트 1 한양대학교 D-Dogs OB 콜드승 11,https://www.gameone.kr/club/info/schedule/boxscore?club_idx=31993&game_idx=1563411
1563433,2024,07월14일 (일) 13:30,일요 싱글,살곶이야구장,한양대학교 D-Dogs OB 콜드승 16 피스메이커즈 3,https://www.gameone.kr/club/info/schedule/boxscore?club_idx=31993&game_idx=1563433
1579917,2024,02월24일 (토) 11:00,[OB]야구&티볼 페스티벌 IN 양구,하리야구장,경희대국제 LIONS OB 7 한양대학교 D-Dogs OB 2,https://www.gameone.kr/club/info/schedule/boxscore?club_idx=31993&game_idx=1579917
1590665,2024,04월10일 (수) 10:00,원외리그,살곶이야구장,한양대학교 불새 4 한양대학교 D-Dogs OB 콜드승 13,https://www.gameone.kr/club/info/schedule/boxscore?club_idx=31993&game_idx=1590665
1596754,2024,06월02일 (일) 07:00,생활체육서울시민리그,난지구장,한양대학교 D-Dogs OB 5 와니엘SG 5,https://www.gameone.kr/club/info/schedule/boxscore?club_idx=31993&game_idx=1596754
1597477,2024,06월23일 (일) 09:00,생활체육서울시민리그,난지구장,한양대학교 D-Dogs OB 콜드승 13 Songpa twins 0,https://www.gameone.kr/club/info/schedule/boxscore?club_idx=31993&game_idx=1597477
1597478,2024,08월25일 (일) 13:00,생활체육서울시민리그,난지구장,NotOut 6 한양대학교 D-Dogs OB 3,https://www.gameone.kr/club/info/schedule/boxscore?club_idx=31993&game_idx=1597478
1597479,2024,09월01일 (일) 13:00,생활체육서울시민리그,난지구장,한양대학교 D-Dogs OB 25 BDP 1,https://www.gameone.kr/club/info/schedule/boxscore?club_idx=31993&game_idx=1597479
1601611,2024,07월13일 (토) 11:00,제 2회 제천시의림지배 전국대학동아리야구대회(2024 제천 졸업생부문),제천시 송학야구장,수원대학교 기백 OB 콜드승 10 한양대학교 D-Dogs OB 2,https://www.gameone.kr/club/info/schedule/boxscore?club_idx=31993&game_idx=1601611
1602224,2024,07월14일 (일) 09:00,제 2회 제천시의림지배 전국대학동아리야구대회(2024 제천 졸업생부문),제천시 금성야구장,한양대OB 콜드승 14 한양대학교 D-Dogs OB 1,https://www.gameone.kr/club/info/schedule/boxscore?club_idx=31993&game_idx=1602224
1603656,2024,09월01일 (일) 17:30,일요 싱글,살곶이야구장,gaepo mammoth 2 한양대학교 D-Dogs OB 콜드승 12,https://www.gameone.kr/club/info/schedule/boxscore?club_idx=31993&game_idx=1603656
1603720,2024,07월28일 (일) 09:00,생활체육서울시민리그,난지구장,집중 8 한양대학교 D-Dogs OB 9,https://www.gameone.kr/club/info/schedule/boxscore?club_idx=31993&game_idx=1603720
1609808,2024,09월22일 (일) 14:00,일요 싱글,살곶이야구장,ANUBIS 4 한양대학교 D-Dogs OB 5,https://www.gameone.kr/club/info/schedule/boxscore?club_idx=31993&game_idx=1609808
